TAIRID	A.thalianaGermany	A.thalianaEastSpain	A.thalianaWestSpain	A.thalianaRussia	A.thalianaCzech	TISSUE
AT4G02780	-0.02041	-0.02525	0.04009	-0.18667	0.15152	cellularized.peripheral.endosperm
AT3G44460	-0.01382	-0.03590	0.03802	-0.05911	0.02044	cellularized.peripheral.endosperm
AT3G03410	-0.08824	-0.01705	0.03750	0.01176	-0.03268	cellularized.peripheral.endosperm
AT3G24790	-0.03684	0.10880	-0.11184	0.02119	-0.12881	cellularized.peripheral.endosperm
AT5G07400	-0.26752	0.01016	-0.12057	0.10092	0.10092	cellularized.peripheral.endosperm
AT2G30810	-0.15741	-0.05952	-0.05952	0.10714	-0.15741	cellularized.peripheral.endosperm
AT5G07740	-0.03880	-0.10494	-0.00849	-0.10357	-0.07398	cellularized.peripheral.endosperm
AT3G24220	0.07092	0.07092	-0.19574	-0.39574	0.07092	cellularized.peripheral.endosperm
AT3G01570	-0.12727	-0.23913	-0.06061	0.02273	0.02273	cellularized.peripheral.endosperm
AT2G28490	-0.18421	-0.18367	-0.01754	-0.01754	-0.01042	cellularized.peripheral.endosperm
AT5G62800	-0.16270	-0.11270	-0.07937	-0.16270	0.08730	cellularized.peripheral.endosperm
AT3G42860	-0.06977	-0.17647	0.00353	-0.14790	-0.07143	cellularized.peripheral.endosperm
AT3G60730	-0.20440	-0.10440	-0.10440	-0.10440	-0.10440	cellularized.peripheral.endosperm
AT1G79960	-0.12745	-0.03462	0.03922	-0.12745	-0.37745	cellularized.peripheral.endosperm
AT3G01580	-0.06311	-0.37273	-0.13624	-0.06481	-0.06481	cellularized.peripheral.endosperm
AT1G03540	-0.13303	-0.23636	-0.23636	-0.13636	0.03364	cellularized.peripheral.endosperm
AT3G03240	-0.06209	-0.07919	-0.11765	-0.38974	-0.06061	cellularized.peripheral.endosperm
AT3G53040	-0.20620	-0.07627	-0.17627	-0.07627	-0.17627	cellularized.peripheral.endosperm
AT5G07850	-0.03846	-0.14688	-0.03968	-0.21354	-0.29688	cellularized.peripheral.endosperm
AT3G26010	-0.18750	-0.12256	-0.14637	-0.08500	-0.21780	cellularized.peripheral.endosperm
AT5G65510	-0.27887	0.12778	-0.27887	-0.14554	-0.22887	cellularized.peripheral.endosperm
AT3G61300	-0.19462	-0.37319	-0.19462	0.04348	-0.12319	cellularized.peripheral.endosperm
AT5G65590	-0.05645	-0.30645	-0.30645	-0.05645	-0.13978	cellularized.peripheral.endosperm
AT3G51560	-0.19881	-0.13794	-0.15237	-0.21667	-0.16071	cellularized.peripheral.endosperm
AT1G48130	-0.26471	-0.25000	-0.08333	-0.02273	-0.25000	cellularized.peripheral.endosperm
AT5G66780	-0.12963	-0.37963	-0.12963	-0.12963	-0.12963	cellularized.peripheral.endosperm
AT1G03880	-0.21186	-0.39080	-0.04520	-0.21186	-0.21186	cellularized.peripheral.endosperm
AT3G56350	0.17380	-0.27500	-0.27500	-0.44167	-0.27500	cellularized.peripheral.endosperm
AT3G56550	-0.26456	-0.26923	-0.33792	-0.24074	-0.22222	cellularized.peripheral.endosperm
AT3G26790	-0.45732	-0.19048	-0.18293	-0.19048	-0.35714	cellularized.peripheral.endosperm
AT3G54940	0.03571	-0.38095	-0.21429	-0.47917	-0.38095	cellularized.peripheral.endosperm
AT5G65820	-0.22609	-0.12609	-0.26567	-0.51820	-0.42931	cellularized.peripheral.endosperm
AT2G03190	0.56364	0.40351	0.56364	0.23684	0.25000	chalazal.endosperm
AT3G09140	0.20349	0.32849	0.36609	0.45349	0.45349	chalazal.endosperm
AT5G52480	0.48529	0.23529	0.40196	0.23529	0.40196	chalazal.endosperm
AT1G22630	0.40278	0.50000	0.50000	0.05556	0.29167	chalazal.endosperm
AT2G43670	0.25490	0.38824	0.25490	0.25490	0.38824	chalazal.endosperm
AT1G28030	0.34603	0.34868	0.25877	0.33065	0.24359	chalazal.endosperm
AT2G18800	0.27381	0.40714	0.38485	0.30903	0.14839	chalazal.endosperm
AT5G23650	0.27957	0.32719	0.41290	0.20638	0.21290	chalazal.endosperm
AT1G24210	0.26667	0.23810	0.26667	0.26667	0.33333	chalazal.endosperm
AT2G02990	0.20833	0.28019	0.25735	0.28019	0.30833	chalazal.endosperm
AT4G19960	0.19644	0.27857	0.25849	0.30109	0.29148	chalazal.endosperm
AT1G71020	0.28277	0.24186	0.23529	0.28277	0.27519	chalazal.endosperm
AT1G71950	0.27778	0.11111	0.11111	0.39706	0.27778	chalazal.endosperm
AT5G63760	0.15000	0.20874	0.46569	0.12500	0.21717	chalazal.endosperm
AT5G56620	0.15972	0.30417	0.38194	0.06604	0.21955	chalazal.endosperm
AT1G78500	0.22667	0.14667	0.15220	0.30180	0.28247	chalazal.endosperm
AT5G09490	0.26667	0.10000	0.35000	0.10000	0.26667	chalazal.endosperm
AT4G33980	0.02222	0.37222	0.37222	0.28889	0.02222	chalazal.endosperm
AT4G39000	0.27941	0.19608	0.15441	0.27874	0.15441	chalazal.endosperm
AT4G01120	0.26007	0.19341	0.42884	-0.00659	0.10000	chalazal.endosperm
AT5G02600	0.25408	0.29304	0.17967	0.21563	0.01852	chalazal.endosperm
AT2G42090	0.15974	0.17403	0.23636	0.14615	0.21190	chalazal.endosperm
AT1G20730	0.11333	0.28218	0.11333	0.11333	0.28000	chalazal.endosperm
AT4G10510	0.21975	0.06098	0.22197	0.12343	0.27356	chalazal.endosperm
AT1G61630	0.17333	0.13210	0.19540	0.21392	0.14414	chalazal.endosperm
AT1G13200	0.15000	0.07246	0.11190	0.29471	0.21678	chalazal.endosperm
AT2G19610	0.31905	0.14567	0.15079	0.14567	0.07797	chalazal.endosperm
AT2G34580	0.27778	0.01351	0.18018	0.18018	0.18018	chalazal.endosperm
AT5G47900	0.11506	0.20769	0.14481	0.15126	0.16484	chalazal.endosperm
AT4G05630	0.32184	-0.01149	0.15517	-0.01149	0.32184	chalazal.endosperm
AT1G57790	0.13576	0.12500	0.17391	0.14583	0.18899	chalazal.endosperm
AT4G25900	0.02795	0.04969	0.20317	0.25604	0.22826	chalazal.endosperm
AT5G41720	0.12162	0.00291	0.25291	0.22791	0.12791	chalazal.endosperm
AT5G20560	0.04455	0.03922	0.40714	0.33333	-0.12745	chalazal.endosperm
AT5G42910	0.13953	0.11785	0.15566	0.11069	0.15381	chalazal.endosperm
AT1G44100	0.07843	0.06426	0.12971	0.16176	0.23810	chalazal.endosperm
AT2G19900	0.20237	0.05263	0.18147	0.10150	0.13060	chalazal.endosperm
AT4G23450	0.11828	0.11828	0.20455	0.10784	0.10784	chalazal.endosperm
AT1G49190	0.03030	0.16935	0.22222	0.12390	0.08880	chalazal.endosperm
AT5G39560	0.20225	-0.01266	0.21650	0.06102	0.16667	chalazal.endosperm
AT3G17350	0.12121	0.26773	0.13876	0.13247	-0.03704	chalazal.endosperm
AT1G27040	0.13147	0.12552	0.04653	0.16398	0.15423	chalazal.endosperm
AT2G19970	0.31197	-0.10714	0.25641	0.08974	0.05952	chalazal.endosperm
AT5G63740	0.16393	-0.00813	0.31707	-0.08607	0.16942	chalazal.endosperm
AT1G53210	0.12121	0.16288	0.08788	-0.00213	0.16731	chalazal.endosperm
AT3G01860	0.22727	0.02500	0.19231	-0.13659	0.22727	chalazal.endosperm
AT5G16770	0.00000	0.25000	0.08333	0.00000	0.17610	chalazal.endosperm
AT4G39180	0.04545	0.16667	0.00794	0.07887	0.20769	chalazal.endosperm
AT4G21130	0.13333	0.10157	0.07849	0.05000	0.13158	chalazal.endosperm
AT4G08560	0.03771	0.15210	0.14286	0.16667	-0.01093	chalazal.endosperm
AT2G37420	0.02212	0.08500	0.04266	0.09015	0.20608	chalazal.endosperm
AT4G35985	0.11944	0.11081	0.10317	0.11944	-0.01826	chalazal.endosperm
AT4G11510	0.12644	0.07882	0.04310	0.12644	0.05000	chalazal.endosperm
AT4G12530	0.25000	0.08333	0.08333	-0.25000	0.25000	chalazal.endosperm
AT2G41260	0.04348	0.22222	0.04348	0.04348	0.04348	chalazal.endosperm
AT3G58210	0.19115	0.19115	0.04286	-0.19189	0.15974	chalazal.endosperm
AT5G41730	-0.00893	0.07862	0.14167	0.14773	0.02670	chalazal.endosperm
AT5G45690	0.23750	-0.16250	0.09091	0.10417	0.10417	chalazal.endosperm
AT5G06330	-0.04969	0.04000	0.29000	0.00000	0.07729	chalazal.endosperm
AT1G12030	0.08130	0.01463	0.11463	0.11463	0.03002	chalazal.endosperm
AT2G16450	0.40674	0.11111	0.11990	-0.29632	0.01319	chalazal.endosperm
AT2G37750	-0.13158	0.16176	0.07843	0.07843	0.16176	chalazal.endosperm
AT4G04990	-0.05556	0.08231	0.04615	0.19595	0.06133	chalazal.endosperm
AT1G53160	0.03125	0.03125	0.03125	0.03125	0.19792	chalazal.endosperm
AT2G30900	0.00746	0.07273	0.12037	0.00746	0.10847	chalazal.endosperm
AT5G03570	0.19394	0.02727	0.02727	0.03704	0.02727	chalazal.endosperm
AT3G04060	0.06250	0.06250	0.06250	0.06250	0.06250	chalazal.endosperm
AT1G22670	0.17890	0.02253	0.01697	0.09740	-0.01339	chalazal.endosperm
AT5G59430	-0.13520	-0.13005	0.17829	0.30562	0.06718	chalazal.endosperm
AT3G59790	0.07059	-0.03731	0.22059	0.05714	-0.04286	chalazal.endosperm
AT4G18020	0.02632	-0.03361	0.11091	0.05000	0.10675	chalazal.endosperm
AT3G08040	0.07937	0.00984	0.15100	0.00625	0.00625	chalazal.endosperm
AT2G03410	0.08915	0.07934	0.01190	0.01691	0.01368	chalazal.endosperm
AT3G09380	0.05357	0.12500	0.06944	-0.06667	0.02500	chalazal.endosperm
AT2G46130	0.07895	0.07895	-0.11111	0.07895	0.07895	chalazal.endosperm
AT5G40360	0.07327	0.03041	0.03333	-0.02381	0.06536	chalazal.endosperm
AT5G22990	-0.00649	0.16919	0.05387	-0.01385	-0.03030	chalazal.endosperm
AT1G54070	0.00000	0.08333	0.00000	0.00000	0.08333	chalazal.endosperm
AT5G17540	-0.05556	-0.05882	0.16490	-0.01598	0.10784	chalazal.endosperm
AT2G04920	-0.12990	-0.07653	-0.04167	0.18041	0.17347	chalazal.endosperm
AT1G77000	0.05862	0.05862	0.12879	-0.07910	-0.07910	chalazal.endosperm
AT3G59580	0.05844	0.05844	-0.00993	-0.00968	-0.01299	chalazal.endosperm
AT2G17310	0.08810	0.03846	0.03846	-0.12500	0.03846	chalazal.endosperm
AT3G22070	0.12500	-0.13636	-0.02500	-0.02500	0.12500	chalazal.endosperm
AT1G53420	0.00000	0.04971	-0.01860	0.07837	-0.05107	chalazal.endosperm
AT1G61340	-0.07692	0.11005	0.02143	0.08480	-0.08333	chalazal.endosperm
AT1G73480	0.00784	0.02660	-0.00143	0.01344	0.00784	chalazal.endosperm
AT3G20300	0.08182	-0.14486	-0.02961	0.07494	0.07071	chalazal.endosperm
AT4G09510	0.07738	-0.22868	0.09916	0.02564	0.07500	chalazal.endosperm
AT1G27240	-0.05769	-0.02198	0.02564	0.20000	-0.10769	chalazal.endosperm
AT5G47740	0.03333	0.05833	0.07328	-0.23810	0.10000	chalazal.endosperm
AT2G32930	-0.09524	0.07143	0.07143	0.07143	-0.09524	chalazal.endosperm
AT4G27550	0.17399	-0.06015	0.09707	-0.35227	0.15476	chalazal.endosperm
AT5G47730	-0.04762	-0.05556	0.03571	0.03571	0.03571	chalazal.endosperm
AT2G29890	-0.13622	-0.13622	-0.09557	0.22586	0.14219	chalazal.endosperm
AT3G17250	-0.16000	0.10667	0.10667	0.10667	-0.16000	chalazal.endosperm
AT1G32430	0.21429	0.00392	-0.15693	-0.13621	0.07246	chalazal.endosperm
AT1G01530	-0.00952	0.05385	-0.01618	-0.01905	-0.01282	chalazal.endosperm
AT5G03930	-0.03286	-0.11620	-0.03286	0.13380	0.02857	chalazal.endosperm
AT1G60570	0.15796	0.00641	-0.04359	-0.04359	-0.10230	chalazal.endosperm
AT3G25420	-0.07971	0.00980	0.09314	0.06933	-0.13889	chalazal.endosperm
AT1G55550	-0.12629	0.04000	0.01059	-0.01309	0.04000	chalazal.endosperm
AT1G78220	0.00000	0.08369	0.06667	-0.25556	0.05452	chalazal.endosperm
AT5G50480	0.00426	0.06250	0.00426	0.15426	-0.27891	chalazal.endosperm
AT3G05310	-0.06898	0.11541	-0.00143	-0.05863	-0.05863	chalazal.endosperm
AT2G31750	0.02273	-0.04963	0.04196	-0.06215	-0.03162	chalazal.endosperm
AT1G28370	0.07143	-0.09524	-0.17857	0.05172	0.07143	chalazal.endosperm
AT1G21670	-0.00850	-0.02721	-0.01629	0.02396	-0.05614	chalazal.endosperm
AT5G06670	-0.25703	-0.24405	-0.06509	0.27337	0.18766	chalazal.endosperm
AT1G45100	-0.05882	0.11034	-0.00209	-0.02132	-0.13660	chalazal.endosperm
AT4G22910	-0.10556	0.02281	0.01864	-0.05000	0.00556	chalazal.endosperm
AT1G35670	-0.04762	0.01628	-0.04545	-0.06028	0.02415	chalazal.endosperm
AT1G35720	-0.00263	-0.05983	0.00718	-0.06763	0.00652	chalazal.endosperm
AT2G39980	-0.17172	-0.00769	0.00595	-0.00571	0.05000	chalazal.endosperm
AT4G25780	0.01429	0.05000	-0.03333	-0.18182	0.01429	chalazal.endosperm
AT3G07270	-0.06364	-0.06364	0.10303	-0.06364	-0.06364	chalazal.endosperm
AT2G38500	-0.02564	-0.06731	-0.02564	0.16484	-0.20000	chalazal.endosperm
AT4G19191	0.00646	-0.02738	-0.02122	-0.03652	-0.07593	chalazal.endosperm
AT2G22050	-0.20283	0.04717	-0.11950	0.04717	0.04717	chalazal.endosperm
AT2G23990	0.01905	-0.00840	-0.14762	0.08571	-0.18929	chalazal.endosperm
AT2G26720	-0.10029	-0.18363	-0.10029	0.07018	0.07018	chalazal.endosperm
AT5G42370	-0.05242	-0.11813	-0.00725	-0.10226	0.02979	chalazal.endosperm
AT5G41450	-0.09211	0.00439	-0.11111	0.06667	-0.12895	chalazal.endosperm
AT2G31760	-0.18593	-0.04594	0.09694	-0.13000	0.00338	chalazal.endosperm
AT3G27770	-0.09539	0.00877	-0.04678	-0.09048	-0.04103	chalazal.endosperm
AT4G39860	-0.05000	-0.05000	-0.05000	-0.20000	0.08333	chalazal.endosperm
AT4G18870	-0.21030	-0.07540	-0.09762	0.03571	0.08088	chalazal.endosperm
AT3G06000	0.14000	-0.11000	-0.11111	-0.02667	-0.16000	chalazal.endosperm
AT1G65990	-0.17857	-0.04167	-0.04167	0.03478	-0.04167	chalazal.endosperm
AT3G52780	-0.06757	-0.06757	0.00000	0.09910	-0.23423	chalazal.endosperm
AT1G74870	-0.15821	0.04706	-0.01961	-0.01961	-0.15294	chalazal.endosperm
AT5G09790	-0.18571	-0.01905	0.11429	-0.19444	-0.01905	chalazal.endosperm
AT5G55490	-0.17687	-0.10515	-0.08274	0.16162	-0.10515	chalazal.endosperm
AT4G25610	0.03777	-0.10509	-0.05747	-0.14080	-0.05747	chalazal.endosperm
AT5G18430	-0.15152	-0.02353	-0.01633	0.01515	-0.15152	chalazal.endosperm
AT4G36600	0.03601	-0.11348	0.00447	-0.15179	-0.10417	chalazal.endosperm
AT1G43000	-0.04545	-0.08604	-0.04863	-0.28968	0.13333	chalazal.endosperm
AT3G26140	-0.01526	-0.14270	-0.05343	-0.01471	-0.13217	chalazal.endosperm
AT5G51030	-0.03632	0.05348	0.01263	-0.47154	0.07879	chalazal.endosperm
AT1G02700	-0.06081	-0.08354	-0.06081	-0.06081	-0.11081	chalazal.endosperm
AT4G03550	-0.21490	-0.06462	-0.03327	0.03071	-0.09667	chalazal.endosperm
AT2G37670	-0.23984	0.06016	0.01016	-0.07317	-0.13984	chalazal.endosperm
AT4G22830	-0.09574	0.08333	-0.08333	-0.09184	-0.19574	chalazal.endosperm
AT5G17650	-0.17442	0.04762	-0.18293	0.10336	-0.18182	chalazal.endosperm
AT1G59670	-0.08059	-0.07023	-0.10500	-0.09454	-0.04642	chalazal.endosperm
AT3G10870	-0.17568	-0.09524	0.05804	-0.00901	-0.17568	chalazal.endosperm
AT4G02710	-0.05618	-0.09295	-0.10646	-0.08587	-0.06027	chalazal.endosperm
AT1G55030	0.10000	-0.13321	-0.06863	-0.23529	-0.06863	chalazal.endosperm
AT3G60140	-0.06399	-0.09696	0.10362	-0.23000	-0.13542	chalazal.endosperm
AT4G21080	0.11224	-0.10407	-0.17308	-0.04009	-0.22593	chalazal.endosperm
AT2G19880	0.01282	0.01282	0.01282	-0.32051	-0.15385	chalazal.endosperm
AT1G50990	-0.13036	-0.04644	0.05146	0.05093	-0.37407	chalazal.endosperm
AT3G61340	-0.07631	-0.07631	-0.19241	0.01893	-0.12392	chalazal.endosperm
AT4G10950	-0.35714	-0.09091	0.01623	-0.05714	0.01623	chalazal.endosperm
AT5G08240	-0.27459	-0.00794	-0.18280	-0.00794	-0.00794	chalazal.endosperm
AT3G27840	-0.21212	0.12121	-0.13488	-0.21212	-0.04545	chalazal.endosperm
AT1G08980	-0.24000	-0.14000	0.10993	-0.24000	0.01000	chalazal.endosperm
AT5G10660	-0.08485	-0.20000	0.10000	-0.17500	-0.15000	chalazal.endosperm
AT1G23540	-0.16303	-0.18803	0.14135	-0.36303	0.06197	chalazal.endosperm
AT1G60400	-0.09877	-0.10712	-0.06301	-0.21818	-0.03035	chalazal.endosperm
AT3G66656	-0.10606	-0.10606	-0.10606	-0.10606	-0.10606	chalazal.endosperm
AT1G79450	-0.10784	-0.10784	-0.10784	-0.10784	-0.10784	chalazal.endosperm
AT1G31040	-0.16667	-0.16667	-0.08374	0.02151	-0.15625	chalazal.endosperm
AT1G44090	-0.16353	0.08225	-0.33442	-0.09211	-0.05317	chalazal.endosperm
AT1G77110	-0.04762	-0.21429	-0.21429	0.11905	-0.21429	chalazal.endosperm
AT1G76250	-0.23283	-0.17033	-0.13700	0.10052	-0.13700	chalazal.endosperm
AT5G15160	0.00000	-0.16667	-0.16667	-0.25000	0.00000	chalazal.endosperm
AT2G42440	-0.16667	-0.10000	-0.25000	-0.09091	0.00909	chalazal.endosperm
AT1G14110	-0.03252	-0.10855	-0.12121	-0.29020	-0.04686	chalazal.endosperm
AT1G05510	-0.02299	-0.18966	-0.18966	-0.18966	-0.02299	chalazal.endosperm
AT5G14740	-0.09195	-0.25862	-0.08333	-0.09195	-0.09195	chalazal.endosperm
AT5G12260	-0.14167	-0.14167	-0.22500	0.02500	-0.14167	chalazal.endosperm
AT5G61290	-0.29487	-0.12821	0.13158	-0.29167	-0.04699	chalazal.endosperm
AT2G47430	-0.21542	-0.12642	-0.06217	-0.00359	-0.22926	chalazal.endosperm
AT5G65300	-0.13158	-0.11905	-0.13158	-0.13158	-0.13158	chalazal.endosperm
AT1G14580	-0.11538	-0.11538	-0.11538	-0.19304	-0.11538	chalazal.endosperm
AT5G66150	0.00299	-0.09701	-0.13337	-0.33333	-0.10000	chalazal.endosperm
AT5G55080	-0.05797	-0.05797	-0.14130	-0.26630	-0.14130	chalazal.endosperm
AT2G39590	-0.10000	-0.26667	-0.10000	-0.10000	-0.10000	chalazal.endosperm
AT4G37970	-0.21154	-0.37821	0.08846	-0.21154	0.03846	chalazal.endosperm
AT2G40820	-0.10494	-0.27917	-0.27917	-0.09756	0.06173	chalazal.endosperm
AT2G24640	-0.15351	-0.20762	-0.29333	0.01316	-0.08684	chalazal.endosperm
AT5G25950	-0.27809	-0.35227	-0.08663	-0.18315	0.16667	chalazal.endosperm
AT5G41800	-0.35556	-0.08547	-0.12834	-0.01908	-0.14742	chalazal.endosperm
AT4G29380	-0.24194	-0.17447	-0.16841	-0.17051	0.00806	chalazal.endosperm
AT1G09510	-0.28205	-0.09615	-0.09615	-0.27044	-0.00377	chalazal.endosperm
AT5G62920	-0.13636	-0.13636	-0.13636	-0.13636	-0.23636	chalazal.endosperm
AT2G27700	-0.23137	-0.28852	-0.23137	-0.09804	0.04545	chalazal.endosperm
AT1G59530	-0.16757	-0.11513	-0.10101	-0.21212	-0.21212	chalazal.endosperm
AT1G16980	-0.24046	-0.15443	-0.07895	-0.13283	-0.21617	chalazal.endosperm
AT5G38710	-0.25556	-0.15556	-0.15824	-0.25824	-0.00281	chalazal.endosperm
AT1G55330	-0.16667	-0.16667	-0.16667	-0.16667	-0.16667	chalazal.endosperm
AT4G26140	-0.14634	-0.44706	-0.14706	-0.05116	-0.05476	chalazal.endosperm
AT1G71770	-0.10686	-0.25397	-0.20210	-0.25397	-0.03543	chalazal.endosperm
AT1G79270	-0.24795	0.06965	-0.24795	-0.17851	-0.24795	chalazal.endosperm
AT5G65090	-0.03101	-0.21429	-0.21429	-0.03101	-0.36434	chalazal.endosperm
AT3G62660	-0.34211	-0.17544	-0.08784	-0.17117	-0.09211	chalazal.endosperm
AT5G56150	-0.21429	-0.03333	-0.21429	-0.21429	-0.21429	chalazal.endosperm
AT1G33030	-0.42045	-0.10521	-0.10521	-0.15968	-0.10045	chalazal.endosperm
AT3G62060	0.08071	-0.05818	-0.41667	-0.16667	-0.33333	chalazal.endosperm
AT3G24060	-0.18421	-0.18421	-0.18421	-0.18421	-0.18421	chalazal.endosperm
AT2G30110	-0.16372	-0.16957	-0.33623	-0.16957	-0.09524	chalazal.endosperm
AT4G25770	-0.28931	-0.14444	-0.12264	-0.19187	-0.18990	chalazal.endosperm
AT5G04220	-0.30081	-0.10000	-0.10000	-0.10000	-0.34843	chalazal.endosperm
AT1G15180	-0.33333	-0.31373	-0.01728	-0.14583	-0.16667	chalazal.endosperm
AT3G19580	-0.28049	-0.28049	-0.03049	-0.11382	-0.28049	chalazal.endosperm
AT2G42490	-0.04433	-0.16271	-0.42938	-0.09195	-0.25862	chalazal.endosperm
AT4G21020	-0.06818	-0.06818	-0.23485	-0.29206	-0.32778	chalazal.endosperm
AT5G06970	-0.39863	-0.22449	-0.22632	-0.12449	-0.02449	chalazal.endosperm
AT5G10695	-0.20000	-0.20000	-0.20000	-0.20000	-0.20000	chalazal.endosperm
AT2G12480	-0.38954	-0.39649	-0.16270	0.07631	-0.14048	chalazal.endosperm
AT1G15790	-0.25333	-0.17000	-0.25333	-0.07843	-0.27714	chalazal.endosperm
AT2G44560	-0.15306	-0.26000	-0.33830	-0.20833	-0.10737	chalazal.endosperm
AT5G50720	-0.25000	-0.25000	-0.25000	-0.08333	-0.25000	chalazal.endosperm
AT2G21110	-0.15000	-0.26573	-0.23285	-0.25000	-0.22500	chalazal.endosperm
AT1G15380	-0.26190	-0.26190	-0.08333	-0.26190	-0.26190	chalazal.endosperm
AT1G63220	-0.26190	-0.09524	-0.26190	-0.26190	-0.26190	chalazal.endosperm
AT1G08065	-0.07727	-0.32171	-0.23837	-0.23837	-0.28837	chalazal.endosperm
AT5G64990	-0.20000	-0.20000	-0.20000	-0.20000	-0.36667	chalazal.endosperm
AT5G05070	-0.15306	-0.15306	-0.15306	-0.40306	-0.31973	chalazal.endosperm
AT1G30810	-0.25845	-0.31202	-0.12955	-0.25845	-0.31202	chalazal.endosperm
AT5G09430	-0.31579	-0.01579	-0.31579	-0.31579	-0.31579	chalazal.endosperm
AT2G38470	-0.18966	-0.18966	-0.35632	-0.18966	-0.35632	chalazal.endosperm
AT5G65020	-0.26316	-0.26316	-0.26316	-0.15676	-0.42982	chalazal.endosperm
AT3G11740	-0.25000	-0.25000	-0.25000	-0.25000	-0.41667	chalazal.endosperm
AT5G53520	-0.35341	-0.28675	-0.25818	-0.35714	-0.19048	chalazal.endosperm
AT2G44590	-0.16667	-0.56085	-0.09524	-0.52846	-0.10667	chalazal.endosperm
AT2G18420	-0.35000	-0.35000	-0.17895	-0.23810	-0.35000	chalazal.endosperm
AT3G54130	-0.22727	-0.22727	-0.22727	-0.39394	-0.39394	chalazal.endosperm
AT3G17520	-0.32804	-0.28421	-0.28519	-0.37749	-0.32804	chalazal.endosperm
AT5G03840	-0.32353	-0.32353	-0.15686	-0.49020	-0.32353	chalazal.endosperm
AT1G23320	-0.33065	-0.29493	-0.43779	-0.43779	-0.17377	chalazal.endosperm
AT3G15810	-0.30952	-0.47619	-0.30952	-0.30952	-0.30952	chalazal.endosperm
AT3G55940	-0.56466	-0.54032	-0.15247	-0.09165	-0.43229	chalazal.endosperm
AT4G26470	-0.38000	-0.28000	-0.10714	-0.54667	-0.54667	chalazal.endosperm
AT2G18590	-0.48240	-0.36812	-0.33613	-0.25714	-0.43478	chalazal.endosperm
AT1G80340	-0.39231	-0.20000	-0.39231	-0.52564	-0.38095	chalazal.endosperm
AT5G65890	-0.46667	-0.51786	-0.33333	-0.47024	-0.21667	chalazal.endosperm
AT5G57740	-0.47131	-0.43095	-0.52131	-0.37634	-0.47131	chalazal.endosperm
AT4G27480	-0.44167	-0.27500	-0.60833	-0.52500	-0.44167	chalazal.endosperm
AT5G09500	-0.59524	-0.42857	-0.59524	-0.42857	-0.59524	chalazal.endosperm
AT1G03070	-0.66176	-0.66176	-0.66176	-0.55238	-0.66176	chalazal.endosperm
AT2G03190	0.56364	0.40351	0.56364	0.23684	0.25000	chalazal.seed.coat
AT4G13060	0.32323	0.30952	0.41092	0.42007	0.51786	chalazal.seed.coat
