gene	lnL	t	S	N	dN/dS	dN	dS	NG.dNdS	NG.dN	NG.dS
AT1G01910	-1096.196878	0.0197	220.9	583.1	0.001	0	0.0239	-1	0	0.0283
AT1G01920	-2447.766605	0.08	417.3	1220.7	0.6104	0.0229	0.0376	0.567	0.0223	0.0393
AT1G01930	-2401.565277	0.0861	364.5	1246.5	0.3372	0.0199	0.0589	0.3647	0.0201	0.0551
AT1G01940	-676.23695	0.0393	137.9	342.1	0.0774	0.003	0.0383	0.0554	0.0027	0.0485
AT1G01950	-3787.6644	0.0438	702.4	1976.6	0.0651	0.0031	0.047	0.0605	0.003	0.0491
AT1G01960	-6112.249107	0.0369	1097.3	3228.7	0.1323	0.0046	0.0349	0.125	0.0045	0.0361
AT1G01970	-1784.95936	0.0682	308.6	918.4	0.1622	0.0099	0.061	0.152	0.0096	0.063
AT1G02010	-2306.724696	0.0279	402	1260	0.001	0	0.0384	-1	0	0.0383
AT1G02020	-1892.841408	0.0504	355.7	940.3	0.3948	0.0118	0.0299	0.3479	0.0113	0.0325
AT1G02040	-643.776895	0.0492	119.3	327.7	0.252	0.0091	0.0363	0.1944	0.0085	0.0439
AT1G02050	-1672.392782	0.0338	345.9	842.1	0.1206	0.0036	0.0299	0.0946	0.0033	0.0354
AT1G02060	-3266.566384	0.1131	536	1594	0.33	0.0249	0.0756	0.3044	0.0242	0.0794
AT1G02065	-906.207667	0.0523	165.7	476.3	0.0342	0.0021	0.0615	0.0323	0.0021	0.0645
AT1G02090	-1103.161735	0.04	228.6	551.4	0.1003	0.0037	0.0366	0.0726	0.0033	0.046
AT1G02100	-1394.884031	0.0215	236.6	765.4	0.6925	0.0065	0.0094	0.7307	0.0065	0.0089
AT1G02110	-2839.978219	0.0321	533	1492	0.2598	0.0061	0.0236	0.2304	0.0059	0.0254
AT1G02130	-847.252344	0.0379	130.8	478.2	0.0409	0.0021	0.0511	0.0455	0.0021	0.0463
AT1G02140	-617.418197	0.028	116.6	333.4	0.1106	0.003	0.0274	0.0925	0.0029	0.0309
AT1G02145	-2094.294221	0.0401	453.8	1019.2	0.4239	0.0094	0.0222	0.306	0.0085	0.0278
AT1G02150	-2263.536441	0.0521	347.3	1221.7	0.228	0.0099	0.0435	0.2488	0.01	0.0401
AT1G02160	-303.240334	0.2272	34.8	151.2	0.3261	0.0546	0.1675	0.511	0.061	0.1193
AT1G02170	-1245.509883	0.0484	215.2	648.8	0.0561	0.0031	0.0554	0.0916	0.0046	0.05
AT1G02180	-940.100909	0.1222	136.2	469.8	0.262	0.0249	0.0952	0.3375	0.0272	0.0805
AT1G02190	-2516.810383	0.2466	338	1150	0.5082	0.0674	0.1326	0.5998	0.0695	0.1158
AT1G02205	-1949.915268	0.137	253.2	1000.8	0.3513	0.0333	0.0947	0.4511	0.0349	0.0773
AT1G02230	-1599.646214	0.0899	264.2	815.8	0.7677	0.0279	0.0363	0.645	0.0263	0.0407
AT1G02260	-1816.349838	0.1853	343.7	799.3	0.1942	0.0275	0.1415	0.1586	0.0254	0.1602
AT1G02280	-1282.102153	0.0731	246.1	644.9	0.0394	0.0031	0.08	0.0319	0.0029	0.0919
AT1G02310	-1789.90529	0.0608	331.9	898.1	0.305	0.0126	0.0412	0.2435	0.0117	0.0479
AT1G02330	-668.565457	0.0483	144.4	353.6	0.0597	0.0029	0.0485	0.0376	0.0026	0.0682
AT1G02340	-975.381509	0.2839	99.2	479.8	0.3644	0.0729	0.1999	0.5492	0.0771	0.1405
AT1G02370	-1934.969407	0.0914	293.5	1014.5	0.2169	0.0168	0.0776	0.2116	0.0165	0.0782
AT1G02380	-1025.087375	0.079	162.3	530.7	0.293	0.0168	0.0574	0.3287	0.0171	0.0519
AT1G02390	-2328.596984	0.0718	455.7	1119.3	0.2764	0.0136	0.0493	0.2127	0.0126	0.059
AT1G02405	-615.623862	0.8507	90.8	194.2	1.157	0.2964	0.2562	0.8697	0.2619	0.3011
AT1G02410	-1212.920687	0.0371	242.7	618.3	0.0924	0.0033	0.0355	0.0742	0.003	0.0409
AT1G02420	-2115.290245	0.0844	255.9	1211.1	0.1515	0.0142	0.0939	0.2286	0.0154	0.0673
AT1G02450	-531.298505	0.0919	98.3	267.7	1.0136	0.0307	0.0303	0.7004	0.0282	0.0402
AT1G02460	-2093.111581	0.0407	332.5	1125.5	0.2028	0.0071	0.0353	0.2207	0.0072	0.0327
AT1G02470	-980.136776	0.0805	174.6	494.4	0.3957	0.0192	0.0485	0.4013	0.019	0.0474
AT1G02475	-953.545196	0.0908	158.4	480.6	0.1507	0.0126	0.0838	0.1586	0.0126	0.0795
AT1G02510	-1239.37442	0.0508	240.2	620.8	0.3723	0.0115	0.031	0.3143	0.0108	0.0344
AT1G02580	-2904.124896	0.059	351	1665	0.3042	0.0141	0.0462	0.4396	0.015	0.0341
AT1G02610	-935.198829	0.0732	136.9	505.1	0.3702	0.0179	0.0483	0.4264	0.0183	0.0429
AT1G02630	-1663.471876	0.0439	318.4	848.6	0.1566	0.0059	0.0378	0.1398	0.0057	0.0404
AT1G02650	-2284.493567	0.0817	450	1071	0.5551	0.022	0.0397	0.4177	0.0201	0.0482
AT1G02660	-3091.243468	0.0667	539.4	1593.6	0.1152	0.0076	0.0656	0.1113	0.0074	0.0665
AT1G02680	-500.065364	0.0257	87.8	281.2	0.001	0	0.036	-1	0	0.0361
AT1G02740	-1079.832515	0.0558	180.7	590.3	0.1217	0.0069	0.0568	0.101	0.0066	0.0651
AT1G02750	-914.44099	0.0616	164.7	477.3	1.1206	0.0211	0.0188	0.8879	0.02	0.0225
AT1G02790	-1625.514067	0.0515	332.8	813.2	0.2335	0.0088	0.0377	0.1695	0.008	0.047
AT1G02800	-1805.09248	0.0616	355.3	886.7	0.1863	0.0091	0.049	0.1509	0.0085	0.0563
AT1G02813	-664.478715	0.1014	98.2	348.8	0.103	0.0116	0.1126	0.1179	0.0118	0.1004
AT1G02816	-776.264728	0.162	143.6	351.4	0.4237	0.0387	0.0914	0.314	0.0351	0.1117
AT1G02820	-414.762743	0.0558	82.5	208.5	0.0903	0.0048	0.0534	0.0825	0.0046	0.056
AT1G02840	-1676.613536	0.8326	211.8	643.2	0.1291	0.1039	0.8048	0.1669	0.114	0.683
AT1G02850	-2049.994506	0.103	371.6	975.4	0.4896	0.0267	0.0545	0.4096	0.0252	0.0616
AT1G02860	-1458.275976	0.0632	247.6	754.4	0.2041	0.0107	0.0526	0.182	0.0103	0.0566
AT1G02870	-836.767664	0.0679	158.4	420.6	0.0679	0.0048	0.0701	0.0563	0.0045	0.0798
AT1G02880	-1137.405848	0.0472	202.7	595.3	0.2289	0.0085	0.037	0.2186	0.0083	0.0378
AT1G02890	-5330.511124	0.0545	930.9	2783.1	0.1532	0.0076	0.0497	0.1487	0.0075	0.0502
AT1G02900	-562.927447	0.155	97.4	259.6	0.2401	0.0277	0.1155	0.2054	0.0262	0.1276
AT1G02910	-1938.593856	0.0461	394.1	952.9	0.3993	0.0107	0.0267	0.3399	0.01	0.0296
AT1G02940	-1024.592839	0.2914	135	459	0.3242	0.0659	0.2033	0.3314	0.0656	0.1979
AT1G02950	-1055.082442	0.0653	203.3	525.7	0.1432	0.0081	0.0569	0.1187	0.008	0.0674
AT1G02960	-1343.157311	0.0597	255.4	677.6	0.4593	0.0151	0.0328	0.365	0.014	0.0384
AT1G02980	-3057.744303	0.022	594.3	1622.7	1.0788	0.0075	0.0069	0.8448	0.007	0.0083
AT1G02990	-5276.92249	0.023	862	2999	0.3943	0.0057	0.0145	0.416	0.0057	0.0138
AT1G03000	-4165.938646	0.0683	749.3	2091.7	0.3	0.0141	0.047	0.2843	0.0137	0.0482
AT1G03010	-2733.58782	0.0527	522.1	1379.9	0.1209	0.0059	0.0485	0.0975	0.0055	0.0564
AT1G03020	-419.27239	0.0105	70.6	235.4	0.001	0	0.0151	-1	0	0.0135
AT1G03030	-1299.980717	0.0513	225.1	677.9	0.8671	0.0165	0.019	0.8363	0.0161	0.0192
AT1G03040	-1245.789152	0.0109	246.4	662.6	0.001	0	0.0134	-1	0	0.014
AT1G03050	-2592.951513	0.071	467.3	1329.7	0.0573	0.0045	0.0782	0.0514	0.0043	0.084
AT1G03055	-1131.406344	0.0443	201.7	590.3	0.1781	0.0068	0.0381	0.1588	0.0065	0.041
AT1G03060	-15042.98071	0.0294	2710.7	8017.3	0.1235	0.0035	0.0284	0.1185	0.0034	0.0291
AT1G03070	-1078.07517	0.0957	226.3	511.7	0.0415	0.004	0.0951	0.0319	0.0036	0.1128
AT1G03080	-7612.345586	0.0835	1322.5	3885.5	0.4199	0.0206	0.0491	0.336	0.0194	0.0577
AT1G03090	-3124.307691	0.0432	594.1	1607.9	0.2263	0.0075	0.0331	0.2008	0.0072	0.0356
AT1G03103	-755.305591	0.1384	138.8	344.2	0.5435	0.0372	0.0684	0.4948	0.0356	0.072
AT1G03110	-1852.038623	0.056	338.8	939.2	0.4544	0.0142	0.0312	0.4043	0.0135	0.0334
AT1G03120	-806.522137	0.198	142.5	361.5	0.5807	0.0548	0.0944	0.5617	0.0539	0.096
AT1G03130	-905.868819	0.0921	160.8	451.2	0.0681	0.0067	0.098	0.0665	0.0065	0.0985
AT1G03140	-1785.02915	0.0555	281.1	969.9	0.0273	0.0021	0.0752	0.0293	0.0021	0.0706
AT1G03150	-701.066358	0	125.2	396.8	0.4018	0	0	-1	0	0
AT1G03160	-4102.689171	0.0864	697.9	2071.1	0.1674	0.0128	0.0763	0.1724	0.0127	0.0738
AT1G03170	-1097.443495	0.0889	185.6	546.4	1.0264	0.0298	0.0291	0.8829	0.0284	0.0322
AT1G03180	-1182.896315	0.0921	223.7	565.3	0.2432	0.0163	0.0671	0.1933	0.0151	0.0783
AT1G03190	-3099.880273	0.0084	517.1	1756.9	0.0553	0.0006	0.0103	0.0614	0.0006	0.0094
AT1G03220	-1830.425876	0.0334	329.3	969.7	0.1319	0.0042	0.0317	0.1329	0.0041	0.0311
AT1G03250	-1042.452136	0.0355	156.1	578.9	0.1511	0.0054	0.0357	0.2291	0.0062	0.0271
AT1G03260	-1162.167442	0.0612	240.8	581.2	0.001	0.0001	0.0694	-1	0	0.0725
AT1G03270	-2024.476874	0.0063	374.2	1122.8	0.1538	0.0009	0.0058	0.1605	0.0009	0.0055
AT1G03280	-1861.811315	0.013	323.8	1071.2	1.478	0.0047	0.0032	1.4374	0.0046	0.0032
AT1G03290	-2460.588241	0.0597	421.5	1288.5	0.6323	0.0174	0.0275	0.5992	0.0169	0.0283
AT1G03300	-2781.803503	0.0663	379.9	1543.1	0.5611	0.0191	0.0341	0.7	0.0198	0.0283
AT1G03310	-3752.776657	0.0476	654.1	1961.9	0.2872	0.0098	0.0341	0.2698	0.0095	0.0353
AT1G03320	-921.022189	0.0687	188.6	450.4	0.3864	0.0156	0.0404	0.2596	0.014	0.0539
AT1G03330	-395.066164	0.0693	85.3	193.7	0.001	0.0001	0.0754	-1	0	0.0997
AT1G03340	-1765.184882	0.0668	303.1	893.9	0.8858	0.0216	0.0244	0.8266	0.021	0.0254
AT1G03350	-2027.664166	0.1359	308.5	1047.5	0.1978	0.0236	0.1191	0.2152	0.0236	0.1095
AT1G03360	-1393.844839	0.0729	275.9	684.1	0.1427	0.0089	0.0625	0.1087	0.0082	0.0754
AT1G03370	-4300.652447	0.0332	770.2	2286.8	0.0882	0.0031	0.0348	0.0822	0.003	0.0363
AT1G03380	-3667.878404	0.0582	617.7	1902.3	0.377	0.0138	0.0366	0.3728	0.0136	0.0365
AT1G03390	-2058.625298	0.0809	349.3	1033.7	0.2054	0.0136	0.0664	0.2006	0.0134	0.0668
AT1G03430	-673.197767	0.0524	93.9	377.1	0.5535	0.015	0.0272	0.5978	0.015	0.0251
AT1G03445	-3384.133855	0.0381	560.1	1824.9	0.3047	0.0083	0.0271	0.3243	0.0083	0.0255
AT1G03475	-1647.894323	0.0445	298.3	862.7	0.0733	0.0035	0.0476	0.0693	0.0034	0.0489
AT1G03520	-2003.436419	0.0923	313.8	1027.2	0.0981	0.0098	0.0995	0.1005	0.0097	0.0969
AT1G03530	-3215.518149	0.0723	540.9	1670.1	0.4804	0.0191	0.0397	0.4495	0.0186	0.0414
AT1G03540	-2788.243993	0.1266	452.5	1371.5	0.1659	0.0188	0.1132	0.1648	0.0188	0.1142
AT1G03550	-1207.231528	0.0582	263	586	0.001	0.0001	0.0625	-1	0	0.078
AT1G03560	-2941.513026	0.1008	428.4	1548.6	0.1795	0.0169	0.094	0.2021	0.0171	0.0845
AT1G03590	-1921.005659	0.023	347.5	1032.5	0.078	0.0019	0.0247	0.0749	0.0019	0.0253
AT1G03610	-1308.266194	0.0418	251.5	672.5	0.0316	0.0015	0.0472	0.025	0.0014	0.0557
AT1G03630	-1783.696884	0.0937	294.4	905.6	0.0624	0.0067	0.1068	0.0644	0.0066	0.103
AT1G03650	-768.488451	0.2118	120.1	353.9	0.1547	0.0296	0.1913	0.1517	0.0297	0.1956
AT1G03680	-770.68591	0.0485	144	393	0.0476	0.0025	0.0534	0.0457	0.0025	0.0543
AT1G03687	-1718.278986	0.0842	294.4	848.6	0.1808	0.013	0.0716	0.1748	0.0128	0.073
AT1G03710	-1280.014761	2.2738	126.9	425.1	0.2214	0.419	1.8928	0.2724	0.3817	1.4014
AT1G03720	-1604.079977	2.4586	168	540	0.1273	0.312	2.4507	0.1502	0.3115	2.0738
AT1G03750	-3802.935077	0.0685	628.4	1972.6	0.2357	0.0128	0.0543	0.2203	0.0125	0.0568
AT1G03760	-1506.311876	0.0467	283.2	784.8	0.2685	0.009	0.0337	0.2227	0.0085	0.0382
AT1G03780	-3050.755189	0.0593	563.8	1572.2	0.2901	0.012	0.0414	0.2535	0.0117	0.046
AT1G03790	-1114.404468	0.1219	130.9	604.1	0.1007	0.0157	0.1557	0.2361	0.0222	0.0941
AT1G03800	-833.13897	0.0896	155.4	399.6	0.7066	0.0268	0.0379	0.6092	0.0254	0.0418
AT1G03810	-631.435803	0.0723	125.8	306.2	0.1736	0.0101	0.0582	0.1379	0.0093	0.0676
AT1G03820	-981.427169	0.1164	159.4	497.6	0.3472	0.0266	0.0767	0.2995	0.0254	0.0849
AT1G03840	-2202.606302	0.0524	354.5	1172.5	0.0878	0.0051	0.0583	0.0908	0.0051	0.0564
AT1G03850	-654.740362	0.0808	98.7	348.3	0.2021	0.0144	0.0712	0.253	0.0148	0.0586
AT1G03860	-1230.571157	0.0532	209.5	654.5	0.0479	0.003	0.0636	0.0505	0.003	0.0604
AT1G03870	-1078.031786	0.0699	207.1	533.9	0.0821	0.0057	0.0688	0.0764	0.0055	0.0716
AT1G03890	-1962.501267	0.0512	373.9	976.1	0.3154	0.0107	0.0338	0.2789	0.0103	0.0368
AT1G03910	-2537.990119	0.0324	408.3	1430.7	0.1237	0.0042	0.0339	0.1269	0.0042	0.033
AT1G03950	-845.627714	0.0257	131.1	498.9	0.0592	0.002	0.0336	0.071	0.002	0.0289
AT1G03960	-2375.482546	0.0707	382.3	1234.7	0.2783	0.0146	0.0525	0.2747	0.0144	0.0524
AT1G03970	-1188.847626	0.0772	194.6	615.4	0.1564	0.0112	0.0717	0.1558	0.0111	0.0714
AT1G03980	-1854.678354	0.09	314.7	930.3	0.2433	0.0168	0.069	0.2265	0.0163	0.072
AT1G03982	-459.430428	0.0564	60.6	266.4	1.0412	0.0189	0.0182	1.6409	0.0206	0.0125
AT1G04010	-2308.451313	0.0265	461.8	1194.2	0.1018	0.0026	0.025	0.0796	0.0024	0.0296
AT1G04020	-3172.109272	0.0927	508.6	1612.4	0.3078	0.0201	0.0652	0.3009	0.0197	0.0656
AT1G04030	-1922.47561	0.0888	330.5	971.5	0.5176	0.0239	0.0462	0.4524	0.023	0.0508
AT1G04040	-1113.452521	0.0234	176.8	624.2	0.2616	0.0048	0.0184	0.2751	0.0048	0.0174
AT1G04050	-3226.702406	0.0761	556.7	1645.3	0.261	0.0148	0.0567	0.2368	0.0146	0.0617
AT1G04080	-3324.025028	0.065	570.1	1727.9	0.5795	0.0183	0.0317	0.5807	0.0181	0.0311
AT1G04100	-1181.256375	0.0844	192.3	599.7	0.2375	0.0158	0.0666	0.2627	0.0161	0.0613
AT1G04110	-3340.488371	0.0418	591.7	1742.3	0.1524	0.0058	0.038	0.1563	0.0057	0.0367
AT1G04120	-6379.52409	0.0364	1200	3330	0.1275	0.0043	0.0339	0.121	0.0042	0.035
AT1G04130	-1562.399886	0.064	289.1	790.9	0.1975	0.0102	0.0517	0.1607	0.0096	0.0599
AT1G04150	-2603.326439	0.0594	469.4	1315.6	0.3175	0.0126	0.0398	0.282	0.0122	0.0431
AT1G04160	-6274.944869	0.0339	1066.6	3433.4	0.0418	0.0018	0.0421	0.0407	0.0017	0.0424
AT1G04170	-1953.37382	0.0382	389.3	1005.7	0.0235	0.001	0.043	0.0195	0.0009	0.0486
AT1G04200	-3165.82629	0.0881	547.3	1570.7	0.2967	0.0182	0.0614	0.2708	0.0176	0.0651
AT1G04220	-2248.14303	0.0449	399.4	1172.6	0.0498	0.0026	0.0514	0.0475	0.0025	0.0528
AT1G04230	-1384.054121	0.0451	207.6	764.4	0.1895	0.0079	0.0415	0.2166	0.008	0.0371
AT1G04240	-817.002345	0.0792	106.9	460.1	0.2095	0.0154	0.0737	0.2645	0.0159	0.06
AT1G04250	-964.221829	0.0459	217.2	469.8	0.0485	0.0021	0.0438	0.0307	0.0019	0.0612
AT1G04270	-637.294195	0.0448	112.1	343.9	0.001	0.0001	0.0606	-1	0	0.0577
AT1G04280	-2020.895315	0.0371	411.4	1022.6	0.1595	0.0049	0.0308	0.121	0.0045	0.0375
AT1G04290	-677.334037	0.093	115	350	0.0247	0.0029	0.1166	0.0261	0.0029	0.1103
AT1G04340	-672.306072	0.0324	143.8	333.2	0.6238	0.0091	0.0146	0.4955	0.0084	0.017
AT1G04360	-1628.516901	0.047	294.7	833.3	0.2952	0.0096	0.0327	0.2505	0.0092	0.0367
AT1G04370	-599.920373	0.0934	111.7	290.3	0.3781	0.0214	0.0565	0.3059	0.0199	0.065
AT1G04390	-4089.10831	0.0435	726.6	2123.4	0.3446	0.0098	0.0284	0.314	0.0094	0.03
AT1G04400	-2656.454547	0.0592	451.8	1384.2	0.0779	0.005	0.0647	0.0766	0.005	0.0647
AT1G04410	-1461.430474	0.1043	269.7	726.3	0.0228	0.0028	0.121	0.021	0.0027	0.1265
AT1G04420	-1792.539832	0.0588	328.6	907.4	0.1209	0.0067	0.0552	0.1061	0.0064	0.0603
AT1G04430	-2741.338584	0.0798	425.7	1440.3	0.0748	0.007	0.093	0.0796	0.007	0.0875
AT1G04450	-846.410232	0.0795	147	435	0.0814	0.0069	0.0845	0.0785	0.0067	0.0859
AT1G04470	-4559.572102	0.0682	794.5	2298.5	0.1484	0.0092	0.0619	0.1454	0.009	0.0621
AT1G04490	-1863.604728	0.1313	276.1	920.9	0.6507	0.0389	0.0598	0.6376	0.0382	0.0599
AT1G04500	-1632.020505	0.0388	256.4	901.6	0.1018	0.0044	0.043	0.1071	0.0044	0.0412
AT1G04520	-1318.78869	0.0513	247.2	673.8	0.0876	0.0045	0.0515	0.0784	0.0043	0.0552
AT1G04530	-1276.758625	0.0598	227.9	681.1	0.1662	0.0088	0.0531	0.1397	0.0084	0.0601
AT1G04540	-2534.591974	0.0862	450.5	1253.5	0.1046	0.0088	0.0842	0.0982	0.0086	0.0872
AT1G04550	-1063.185692	0.0938	175.7	541.3	0.2278	0.0171	0.075	0.2429	0.0175	0.072
AT1G04555	-672.9787	0.1029	125.2	321.8	0.0957	0.0094	0.0983	0.0839	0.009	0.1068
AT1G04560	-842.819599	0.1099	155	397	0.3237	0.0231	0.0713	0.2732	0.0218	0.0797
AT1G04570	-2378.837988	0.0665	471.9	1154.1	0.2345	0.0114	0.0486	0.2017	0.0108	0.0533
AT1G04580	-5499.130764	0.057	945.1	2864.9	0.1588	0.0082	0.0517	0.1735	0.0086	0.0497
AT1G04590	-1585.553182	0.0872	239	829	0.651	0.0259	0.0398	0.6719	0.0258	0.0384
AT1G04620	-1978.323395	0.0427	361.5	1021.5	0.1982	0.0069	0.0349	0.1764	0.0067	0.0377
AT1G04640	-1045.520132	0.096	160.1	538.9	0.1763	0.0154	0.0877	0.2082	0.0162	0.0779
AT1G04645	-540.469246	0.0342	68.1	315.9	0.1673	0.006	0.0362	0.252	0.0066	0.0261
AT1G04650	-4166.449149	0.0515	790.9	2101.1	0.4576	0.013	0.0284	0.381	0.0122	0.0321
AT1G04670	-514.215609	0.0326	111.2	266.8	0.1395	0.0039	0.0277	0.1084	0.0035	0.0326
AT1G04680	-1947.747596	0.1057	327.9	965.1	0.0621	0.0073	0.1175	0.0573	0.0071	0.1235
AT1G04690	-1404.295869	0.0517	278.5	705.5	0.0539	0.0029	0.0536	0.043	0.0027	0.0622
